b4_site_smc_agency_name,c1_type_of_site,c2_landowner,c3_tenancy_agreement_for_at_least_6_months,b1_site_management,b7_community_committee_in_place,d1_most_common_reason_idps_left_place_of_origin,a8_population_groups_other_than_idps_in_site_select_all_applicable,d3_most_common_intention_in_next_three_months,c4_general_market_in_site_close_proximity,d2_1_most_common_district_of_idp_origin,d2_2_second_most_common_district_of_idp_origin,d2_3_third_most_common_district_of_idp_origin,c6_electricity_solar_power_available_in_site,c5_fuel_available_in_site_close_proximity,c8_primary_water_source,c9_primary_shelter_type,c10_primary_latrine_type,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,psp_rrm_distributions,psp_shelter_maintenance_services,psp_nfi_distribution,psp_food_distribution,psp_cash_distributions,psp_wash_services,psp_health_services,psp_education_services,psp_livelihood_services,psp_protection_services,psp_nutrition_services,psp_waste_disposal_services,if_ngo_rrm_distributions,if_ngo_shelter_maintenance_services,if_ngo_nfi_distribution,if_ngo_food_distribution,if_ngo_cash_distributions,if_ngo_wash_services,if_ngo_health_services,if_ngo_education_services,if_ngo_livelihood_services,if_ngo_protection_services,if_ngo_nutrition_services,if_ngo_waste_disposal_services,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,c7_presence_of_particularly_vulnerable_groups.elderly,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,c7_presence_of_particularly_vulnerable_groups.marginalized_people,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,f1_threats_to_the_site.flooding,f1_threats_to_the_site.eviction,f1_threats_to_the_site.infectious_diseases,f1_threats_to_the_site.friction_between_communities,f1_threats_to_the_site.water_contamination,f1_threats_to_the_site.conflict_related_incidents,f1_threats_to_the_site.fire_related_incidents,a1_governorate_name,a2_district_name,a3_sub_district_name,a4_site_name,a4_site_code,a6_site_occupation_date_dd_mm_yy,a7_site_population_individual,a7_site_population_hh,a8_population_groups_other_than_idps_in_site_select_all_applicable,@rrm_distributions,@shelter_maintenance_services,@nfi_distribution,@food_distribution,@cash_distributions,@wash_services,@health_services,@education_services,@livelihood_services,@protection_services,@nutrition_services,@waste_disposal_services,@maps
NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lahj,Tuban,Al Hawtah - Tuban,Dar Mansour Camp ,YE2515 - 1260,5/1/2018,30,5,none,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/YEM_CCCM_Dar Mansour Camp .pdf
N/A,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Al Jarrahi,Hays,Al Hali,Yes,No,Water Trucking,Rented house/appartment,Pit latrine-open,Food,Cash assistance,Medical assistance,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,Government,NA,NA,NA,NA,NA,Danish Refugee Council (DRC),Danish Refugee Council (DRC),NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Jaroubah Camp ,YE2515 - 1261,6/1/2020,50,10,none,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Jaroubah Camp .pdf
Danish Refugee Council (DRC),Collective centre,Private,No,NGO/UN agency,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Zabid,Tuban,NA,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Water,Food,Medical assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,Government,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,Nahda Makers Organization (NMO),Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Jalajel Camp,YE2515 - 1262,12/1/2017,100,14,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Al Jalajel Camp.pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Wazi'yah,Al Makha,Al Jarrahi,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Non-food items,Shelter / maintenance assistance,Food,NA,NA,NA,NGO/UN agency,NA,Government,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Bayt Eyaadh,YE2515 - 1263,12/1/2015,280,42,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Bayt Eyaadh.pdf
N/A,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Jarrahi,Bayt Al Faqih,Al Qahirah,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Cash assistance,Livelihood assistance,Food,NA,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,Government,Government,Government,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,Nahda Makers Organization (NMO),Field Medical Foundation (FMF),INTERSOS,NA,NA,NA,NA,INTERSOS,UNICEF,NA,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Thaleb,YE2515 - 1264,12/1/2017,45,8,host community,./merge/red.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Al Thaleb.pdf
N/A,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Mawza',Shar'ab As Salam,Al Jarrahi,Yes,Yes,Piped water into compound/public tap,Host family house/apartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Medical assistance,Private,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,Government,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,IOM,Field Medical Foundation (FMF),INTERSOS,NA,Mercy Corps,NA,NA,Danish Refugee Council (DRC),Adventist Development Relief Agency,NA,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Lahj,Tuban,Al Hawtah - Tuban,"Qaryat Ash Shadheif
",YE2515 - 1265,7/1/2015,205,22,host community,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/red.png,"./merge/YEM_CCCM_Qaryat Ash Shadheif
.pdf"
NA,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Mawza',Zabid,Bayt Al Faqih,No,Yes,Borehole,Host family house/apartment,Open defection,Food,Non-food items,Medical assistance,NA,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field Medical Foundation (FMF),Norweigan Refugee Council (NRC),NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,"Ja'oulah
",YE2515 - 1266,12/1/2017,80,16,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,"./merge/YEM_CCCM_Ja'oulah
.pdf"
Danish Refugee Council (DRC),Spontaneous settlement,Private,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Maqbanah,At Ta'iziyah,Jabal Habashi,No,Yes,Water Trucking,Emergency shelter,Flush latrine to a tank/sewer system/pit,Food,Medical assistance,Shelter / maintenance assistance,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NGO/UN agency,NGO/UN agency,NA,Action Contre la Faim (ACF),Danish Refugee Council (DRC),UNICEF,World Food Programme (WFP),NA,UNICEF,NA,NA,NA,Norweigan Refugee Council (NRC),UNICEF,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Garad Site,YE2515 - 1267,7/1/2017,534,94,none,./merge/green.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Al Garad Site.pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Qubaytah,Qa'tabah,Damt,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Medical assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,NA,NA,NA,NA,IOM,Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Lahj,Radfan,al Habilin,Al Habelain City,YE2507 - 1268,3/1/2015,240,60,host community,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Habelain City.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,Evicted from property,Host community,Return to origin,No,Khawlan,Bilad Atta'am,Hobeish,Yes,No,Borehole,Makeshift shelter,Pit latrine-open,Sanitation services,Food,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Mafraq Huraib,YE2612 - 1269,11/1/2017,1950,325,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Mafraq Huraib.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,Evicted from property,None,Return to origin,No,Al Hashwah,NA,NA,Yes,No,Borehole,Makeshift shelter,Pit latrine-covered,Food,Shelter / maintenance assistance,Livelihood assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Ma'rib,Ma'rib,Aal Rashid Munif,Al Wadi -  Al Hajlan ,YE2613 - 1270,4/1/2016,144,24,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Wadi - Al Hajlan .pdf
N/A,Collective centre,Private,No,Government,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Hays,Al Khukhah,Maqbanah,Yes,Yes,Water Trucking,Rented house/appartment,Pit latrine-open,Food,Medical assistance,Cash assistance,NA,NA,NGO/UN agency,NA,NA,NA,Government,Government,NA,NA,NA,NA,NA,NA,Advance Foundation Development (AFD),NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Khuddad ,YE2515 - 1271,2/1/2016,300,42,host community,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Khuddad .pdf
Other,Spontaneous settlement,Private,No,NGO/UN agency,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Khukhah,NA,NA,No,No,Borehole,Makeshift shelter,Open defection,Food,Medical assistance,Shelter / maintenance assistance,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,Action Contre la Faim (ACF),NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Mughtaribeen Camp,YE2515 - 1272,11/1/2018,315,45,host community,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Mughtaribeen Camp.pdf
Other,Collective centre,Private,No,Private,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Jarrahi,Maqbanah,NA,No,Yes,Borehole,Host family house/apartment,Open defection,Food,Non-food items,Water,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nahda Makers Organization (NMO),Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Khadhra' Camp ,YE2515 - 1273,6/1/2016,2800,400,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Khadhra' Camp .pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Jarrahi,NA,NA,Yes,Yes,Piped water into compound/public tap,Host family house/apartment,Flush latrine to the open,Cash assistance,Water,Non-food items,NA,NA,NGO/UN agency,NGO/UN agency,NA,Government,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,Danish Refugee Council (DRC),Adventist Development Relief Agency,NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Zaydah ,YE2515 - 1274,11/1/2017,45,9,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Al Zaydah .pdf
N/A,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Al Makha,Hays,NA,Yes,Yes,Borehole,Host family house/apartment,Pit latrine-open,Food,Cash assistance,Medical assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,Government,NA,NGO/UN agency,NA,NA,NA,NA,Danish Refugee Council (DRC),Field Medical Foundation (FMF),NA,NA,NA,NA,NA,INTERSOS,NA,NA,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Ash Shaqa'h Camp ,YE2515 - 1275,2/1/2015,80,15,none,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Ash Shaqa'h Camp .pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Zabid,Al Jarrahi,Hays,Yes,Yes,"Surface water (river, dam, lake, pond, stream, canal)",Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Water,NA,NA,NGO/UN agency,NGO/UN agency,NA,Government,Government,Government,NGO/UN agency,NA,NA,Government,NA,NA,Danish Refugee Council (DRC),Field Medical Foundation (FMF),NA,NA,NA,NA,Mayar Foundation,NA,NA,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Lahj,Al Hawtah,Al Hawtah - Al Hawtah,Al-Hawtah Al-Harat,YE2514 - 1276,6/1/2017,2742,457,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/YEM_CCCM_Al-Hawtah Al-Harat.pdf
NA,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Hays,Al Jarrahi,Mawza',Yes,Yes,Borehole,Host family house/apartment,Flush latrine to a tank/sewer system/pit,Food,Non-food items,Cash assistance,Private,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,Government,NA,NGO/UN agency,NGO/UN agency,NA,NA,Mercy Corps,Emirates Red Crescent (ERC),Field Medical Foundation (FMF),NA,Care,INTERSOS,NA,NA,Norweigan Refugee Council (NRC),Adventist Development Relief Agency,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Qaryart An Nouba,YE2515 - 1277,11/1/2016,125,15,host community,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Qaryart An Nouba.pdf
Other,Collective centre,Private,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Ad Dali',Al Mudhaffar,Mukayras,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Open defection,Food,Medical assistance,Non-food items,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,NA,NGO/UN agency,NA,Action Contre la Faim (ACF),NA,Yemen Red Crescent Society (YRCS),Charitable Society for Social Welfare (CSSW),NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Lahj,Al Malah,Al Malah,Al Haid Al Abiadh,YE2508 - 1278,7/1/2019,78,13,host community,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Al Haid Al Abiadh.pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Qa'tabah,Damt,Osaylan,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Shelter / maintenance assistance,NA,NA,NA,NA,NA,NGO/UN agency,NA,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norweigan Refugee Council (NRC),NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Lahj,Radfan,al Habilin,Qaryatai Ath Thumair Wa Al Malha,YE2507 - 1279,10/1/2018,135,23,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Qaryatai Ath Thumair Wa Al Malha.pdf
N/A,Collective centre,Public ,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Zabid,Al Jarrahi,At Tuhayta,Yes,Yes,Water Trucking,Public building,Flush latrine to a tank/sewer system/pit,Food,Water,Sanitation services,NA,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INTERSOS,NA,NA,NA,NA,NA,NA,NA,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Internal housing of the Faculty of Agriculture ,YE2515 - 1280,6/1/2018,61,15,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Internal housing of the Faculty of Agriculture .pdf
Other,Spontaneous settlement,Private,Yes,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Jarrahi,NA,NA,No,Yes,"Surface water (river, dam, lake, pond, stream, canal)",Emergency shelter,Pit latrine-open,Food,Medical assistance,Cash assistance,NA,NA,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field Medical Foundation (FMF),Norweigan Refugee Council (NRC),Action Contre la Faim (ACF),NA,NA,NA,NA,NA,NA,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Tahrour Camp ,YE2515 - 1281,7/1/2019,65,13,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Tahrour Camp .pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Jarrahi,Al Hawak,Zabid,Yes,Yes,Piped water into compound/public tap,Own house/apartment,Pit latrine-open,Food,Cash assistance,Medical assistance,NA,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,Field Medical Foundation (FMF),Norweigan Refugee Council (NRC),NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Maghafa,YE2515 - 1282,1/1/2018,244,52,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Maghafa.pdf
Other,Spontaneous settlement,Private,Yes,Government,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Zabid,Al Khukhah,At Tuhayta,No,Yes,"Surface water (river, dam, lake, pond, stream, canal)",Makeshift shelter,Pit latrine-open,Food,Cash assistance,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,Field Medical Foundation (FMF),NA,NA,NA,NA,NA,Norweigan Refugee Council (NRC),Save the Children,NA,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Shaqa'a ,YE2515 - 1283,1/1/2018,245,35,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Al Shaqa'a .pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Move elsewhere,Yes,Al Jarrahi,NA,NA,Yes,Yes,Bottled water,Rented house/appartment,Pit latrine-open,Food,Non-food items,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NA,Government,Government,NA,NA,NA,NA,NA,NA,NA,Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Serdah ,YE2515 - 1284,11/1/2017,128,16,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Serdah .pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Move elsewhere,Yes,Al Jarrahi,Al Qubaytah,NA,Yes,Yes,"Surface water (river, dam, lake, pond, stream, canal)",Rented house/appartment,Pit latrine-open,Food,Medical assistance,Cash assistance,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,Government,Government,NA,NA,NA,NA,NA,Nahda Makers Organization (NMO),NA,Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Habeel,YE2515 - 1285,12/1/2017,224,32,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Habeel.pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Jarrahi,Hays,NA,Yes,Yes,Illegal connection to piped network,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Water,Food,Medical assistance,NA,NA,NA,NA,NA,NA,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,"Al-Hasky
",YE2515 - 1286,12/1/2018,48,8,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,"./merge/YEM_CCCM_Al-Hasky
.pdf"
